"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 15:11:09 GMT 2025","Mon Feb 10 15:11:11 GMT 2025","2032","","","","","","Admin modifies a student account",""
"passed","Mon Feb 10 15:11:17 GMT 2025","Mon Feb 10 15:11:18 GMT 2025","1690","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Mon Feb 10 15:11:13 GMT 2025","Mon Feb 10 15:11:15 GMT 2025","1804","","","","","","Fill in student login with one incorrect userName data",""
"passed","Mon Feb 10 15:11:07 GMT 2025","Mon Feb 10 15:11:09 GMT 2025","2439","","","","","","Admin creates a new student account",""
"passed","Mon Feb 10 15:11:11 GMT 2025","Mon Feb 10 15:11:13 GMT 2025","1429","","","","","","Admin deletes a student account",""
"passed","Mon Feb 10 15:11:18 GMT 2025","Mon Feb 10 15:11:20 GMT 2025","1685","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Mon Feb 10 15:11:13 GMT 2025","Mon Feb 10 15:11:13 GMT 2025","505","","","","","","Check Login title",""
"passed","Mon Feb 10 15:11:15 GMT 2025","Mon Feb 10 15:11:17 GMT 2025","1659","","","","","","Fill in admin login with one correct user data",""
"broken","Mon Feb 10 15:10:24 GMT 2025","Mon Feb 10 15:11:06 GMT 2025","41565","","","","","","Admin searches for a student account by Student ID",""
"passed","Mon Feb 10 15:11:06 GMT 2025","Mon Feb 10 15:11:07 GMT 2025","1166","","","","","","Admin searches for a student account by Student Name",""
"passed","Mon Feb 10 15:10:18 GMT 2025","Mon Feb 10 15:10:24 GMT 2025","6393","","","","","","Admin lists all student accounts",""
